Ensembl	geneSym	BCM_2147_109073	BCM_2147_109076	BCM_2147CR15_109121	BCM_2147CR15_109136	WHIM30_108961	WHIM30_109164	WHIM30CR19_109239	WHIM30CR19_109241	BCM-7482CR_110326	BCM-7482CR_110324	BCM-7482CR_110323	BCM-7482_110317	BCM-7482_110316	BCM-7482_110315	BCM-3887CR_110350	BCM-3887CR_110347	BCM-3887CR_110175	BCM-3887_110320	BCM-3887_110319	BCM-3887_110318	BCM-2147CR_109178	BCM-2147_109176
ENSG00000000003	TSPAN6	2985	2367	2904	2746	666	753	1186	938	660	514	653	1044	747	734	2069	2268	2114	1232	1255	1351	2050	1754
ENSG00000000005	TNMD	0	1	0	0	0	0	0	0	21	9	24	0	1	0	1	0	1	0	0	0	0	2
ENSG00000000419	DPM1	2039	1543	1834	1494	1066	1284	883	820	867	692	917	692	811	822	306	291	287	658	521	529	1065	1479
ENSG00000000457	SCYL3	599	343	669	542	487	490	306	220	296	241	324	223	294	266	491	301	549	454	453	463	437	360
ENSG00000000460	FIRRM	1020	1108	1475	1313	526	587	612	520	454	349	330	527	465	508	549	527	730	678	736	592	957	720
ENSG00000000938	FGR	158	58	48	32	5	2	3	2	0	10	4	0	4	5	27	35	23	8	43	32	60	63
ENSG00000000971	CFH	3	1	0	0	201	320	201	133	0	3	0	0	3	0	0	0	2	0	0	0	0	0
ENSG00000001036	FUCA2	1078	1125	1467	1107	220	316	189	117	260	270	288	79	76	75	187	171	192	333	234	306	1194	899
ENSG00000001084	GCLC	2833	2328	3567	2878	1943	1880	1366	1110	1726	1376	1821	1486	1440	1222	725	629	691	1003	923	981	2322	2180
ENSG00000001167	NFYA	1893	1258	2381	1868	1642	1466	885	795	2874	2549	2422	2928	2581	2811	1970	1796	2015	1862	2102	2092	1387	1331
ENSG00000001460	STPG1	323	270	356	306	227	222	259	170	204	208	196	171	168	153	234	158	116	223	218	210	232	219
ENSG00000001461	NIPAL3	3329	2181	3312	2687	2778	2680	2638	1906	3128	2606	2830	1964	1774	1735	1393	1136	1156	1081	1244	1245	1973	2019
ENSG00000001497	LAS1L	2329	2041	2747	2703	2504	2954	2326	1904	2004	1768	2228	2276	2040	2150	2669	2166	2065	2296	2221	1984	2329	1678
ENSG00000001561	ENPP4	1381	727	1888	1207	995	591	1502	1200	15	20	39	0	1	4	474	503	368	379	327	347	1003	751
ENSG00000001617	SEMA3F	532	367	385	524	636	534	493	319	48	41	70	503	503	480	383	253	375	102	152	157	344	450
ENSG00000001626	CFTR	2	0	0	0	10	1	0	0	1	2	0	0	0	0	2	2	0	0	0	0	0	1
ENSG00000001629	ANKIB1	6673	3788	5193	3819	4500	3581	2849	2052	2901	2696	2972	2264	1983	2037	1964	1269	1638	2139	2156	2293	2892	4091
ENSG00000001630	CYP51A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	1	0	0	0
ENSG00000001631	KRIT1	1847	945	2396	1767	1590	1104	1142	882	1497	1181	1426	967	973	1047	1279	870	1100	1473	1358	1425	1324	1272
ENSG00000002016	RAD52	447	260	712	506	506	372	184	151	974	921	998	1194	1315	1212	187	157	235	215	246	287	460	363
ENSG00000002079	MYH16	41	15	39	25	15	31	5	4	39	32	31	5	17	9	47	17	38	92	50	92	46	29
ENSG00000002330	BAD	102	73	86	60	120	146	116	113	258	301	294	210	335	379	325	517	370	282	284	305	110	120
ENSG00000002549	LAP3	774	612	905	606	2398	2020	1296	812	919	868	913	1151	1105	975	424	311	378	516	402	337	675	561
ENSG00000002586	CD99	3244	2691	3417	3533	3306	3617	2869	2503	3482	3870	4179	4019	3451	3449	2322	2409	2213	2421	2330	2504	2442	2524
ENSG00000002587	HS3ST1	16	31	0	0	199	208	220	203	11	11	21	25	25	22	37	48	50	43	58	50	0	12
ENSG00000002726	AOC1	16	5	1	0	12	5	5	7	44	65	60	0	39	26	5	2	7	6	11	13	0	10
ENSG00000002745	WNT16	0	1	0	0	1	1	0	0	12	12	3	2	0	0	0	1	0	0	0	10	0	0
ENSG00000002746	HECW1	41	45	1	0	36	49	52	27	20	0	29	4	13	0	1085	721	882	883	892	984	1	41
ENSG00000002822	MAD1L1	1502	1391	3055	2499	893	963	654	521	1644	1823	1597	1324	1229	1270	1285	1150	1243	873	852	899	3008	1280
ENSG00000002834	LASP1	1811	1570	1409	1074	1807	2484	2616	1954	990	1015	916	951	784	868	1045	515	892	760	911	780	915	1361
ENSG00000002919	SNX11	557	477	635	509	1166	1285	883	667	635	527	675	384	294	309	447	529	444	559	447	489	548	443
ENSG00000002933	TMEM176A	3	0	0	0	62	85	47	25	10	4	1	7	1	9	64	38	88	53	13	37	0	0
ENSG00000003056	M6PR	7009	6645	8498	7304	2985	3450	2045	1680	1604	1455	1676	3189	2699	2971	2559	2063	2552	2210	2080	2116	5599	4733
ENSG00000003096	KLHL13	752	898	890	876	10	30	18	18	146	123	103	66	107	63	243	281	396	592	486	558	652	549
ENSG00000003137	CYP26B1	574	231	129	106	450	451	518	388	1763	1527	1739	481	511	517	14	17	29	61	58	116	108	745
ENSG00000003147	ICA1	2021	1200	1939	1642	615	467	433	450	126	128	135	116	135	139	693	621	768	528	495	550	1112	935
ENSG00000003249	DBNDD1	1139	1112	1054	954	1570	1794	1869	1538	2714	2893	2807	3194	2602	3426	406	615	349	457	452	458	764	764
ENSG00000003393	ALS2	733	516	951	712	2096	2266	1584	1276	813	548	672	920	677	764	1220	973	1291	1033	953	1024	589	509
ENSG00000003400	CASP10	1	4	1	1	11	6	3	0	0	10	1	9	2	4	4	0	10	6	0	0	0	0
ENSG00000003402	CFLAR	2415	1075	2443	1664	4431	3726	2043	1472	1012	1001	1049	1063	1065	993	3183	2420	2767	1873	1904	2199	1526	1522
ENSG00000003436	TFPI	0	1	0	0	8	1	2	2	4	0	0	1	0	1	0	3	6	1	3	0	0	1
ENSG00000003509	NDUFAF7	647	491	857	759	396	388	351	276	304	286	318	338	331	285	407	484	426	479	429	436	554	476
ENSG00000003756	RBM5	861	396	818	844	1527	1181	721	665	1466	1369	1428	1476	1511	1550	1525	1108	1765	791	962	796	622	662
ENSG00000003987	MTMR7	3	0	5	5	13	9	7	1	17	25	14	29	34	32	169	68	156	130	180	137	6	3
ENSG00000003989	SLC7A2	0	0	1	1	16	32	12	10	70	67	50	130	146	123	261	177	334	498	554	448	0	0
ENSG00000004059	ARF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004139	SARM1	139	63	120	102	14	18	45	20	105	113	98	64	63	91	102	94	131	58	88	96	87	86
ENSG00000004142	POLDIP2	3310	2909	3630	3083	3452	3965	5510	4319	4612	4200	4972	4237	3603	3547	2660	2860	2313	2425	2513	2484	2604	2137
ENSG00000004399	PLXND1	7088	5835	6828	6787	7021	8612	6435	5050	1287	1248	1202	3226	2878	3566	2444	1800	2008	2151	2737	2625	5229	5531
ENSG00000004455	AK2	566	496	596	476	442	570	344	279	106	85	109	50	54	68	90	71	65	80	66	62	81	40
ENSG00000004468	CD38	254	123	144	40	22	14	17	4	25	23	38	9	18	10	701	534	494	189	137	221	37	90
ENSG00000004478	FKBP4	872	875	1029	1122	928	1363	635	427	1529	1459	1268	2687	2473	2557	655	418	868	809	784	631	1133	1221
ENSG00000004487	KDM1A	281	259	417	316	336	447	382	158	665	629	659	612	489	538	746	399	715	549	531	486	506	505
ENSG00000004534	RBM6	1573	909	1676	1686	2066	1852	1387	1202	1673	1716	1693	1789	1713	1868	2222	1859	2105	974	1239	1278	1161	1127
ENSG00000004660	CAMKK1	863	743	952	955	121	158	550	391	199	205	178	480	382	401	269	171	247	112	121	151	884	751
ENSG00000004700	RECQL	2264	1567	2420	1731	1857	1972	1288	1031	1927	1842	2085	625	487	427	1654	1013	1617	1517	1461	1363	1407	1299
ENSG00000004766	VPS50	1373	930	1229	1185	1171	773	735	611	721	602	669	691	467	558	510	457	389	614	753	778	779	818
ENSG00000004776	HSPB6	26	25	21	11	0	7	1	2	453	435	424	496	398	512	13	4	2	2	21	32	6	50
ENSG00000004777	ARHGAP33	419	345	583	676	679	655	271	183	744	883	827	1225	1359	1408	1108	1000	1094	1238	1378	1393	457	386
ENSG00000004779	NDUFAB1	3252	2990	3933	3912	3488	3883	3095	2731	3101	2372	3026	3740	3482	3189	1834	2352	1714	2522	2408	2133	3180	2613
ENSG00000004799	PDK4	122	9	7	1	25	28	8	3	0	0	0	0	0	0	0	3	0	5	2	2	0	8
ENSG00000004809	SLC22A16	23	9	4	6	38	5	2	8	17	21	9	0	1	6	391	128	187	10	20	5	19	17
ENSG00000004838	ZMYND10	7	1	1	0	6	3	2	2	0	1	0	0	0	4	0	5	0	0	0	0	0	0
ENSG00000004846	ABCB5	3	3	2	1	3	0	1	0	10	8	9	26	10	11	96	83	117	4	14	20	6	1
ENSG00000004848	ARX	186	101	134	121	3	2	0	0	28	37	58	4	1	0	32	27	16	11	11	1	41	108
ENSG00000004864	SLC25A13	2182	2339	2422	2248	2086	1809	1530	1045	1814	1423	1739	1137	1233	1185	2938	2459	2396	2700	2319	2718	1629	1404
ENSG00000004866	ST7	983	738	971	971	545	594	372	339	361	277	331	346	398	321	148	165	107	377	343	411	543	535
ENSG00000004897	CDC27	3058	2474	3991	2833	4513	5005	4258	3235	2251	1708	1809	1875	1757	1894	2149	1911	2120	2261	2097	2306	1978	1881
ENSG00000004939	SLC4A1	0	0	0	0	2	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0
ENSG00000004961	HCCS	2004	1941	2395	1915	1084	1140	929	832	3246	2955	3356	1647	1477	1545	687	772	724	794	658	654	1574	1403
ENSG00000004975	DVL2	1287	869	1548	1311	1585	1839	1846	1410	2006	1850	1861	1854	1610	1593	3597	2816	3690	2291	2657	2290	1168	1009
ENSG00000005001	PRSS22	621	316	543	512	465	470	267	232	0	0	0	0	0	0	142	135	134	106	103	84	346	500
ENSG00000005007	UPF1	9455	8047	8650	7714	5109	5222	4078	2811	3991	3811	3908	3664	3333	3785	8764	6739	7628	7915	8980	9695	6150	7603
ENSG00000005020	SKAP2	7	5	2	6	118	85	97	67	359	305	343	437	379	464	1378	1330	1188	1557	1557	1703	0	0
ENSG00000005022	SLC25A5	12315	12514	18294	15124	19556	22499	23897	19210	7016	6216	7459	14507	13114	12618	9684	10353	8681	11286	10012	9824	13477	9072
ENSG00000005059	MCUB	801	851	970	951	1037	1324	1445	1406	738	608	748	1446	1405	1192	448	554	459	799	733	830	612	602
ENSG00000005073	HOXA11	369	189	241	277	2	13	8	3	42	14	31	11	16	8	155	164	108	13	17	19	150	394
ENSG00000005075	POLR2J	1393	1199	1667	1779	2130	2182	1096	892	4388	4374	4922	3684	3103	3218	2267	2940	2236	2805	3129	2739	1650	1178
ENSG00000005100	DHX33	924	640	1170	686	226	361	759	394	1005	1010	954	910	903	875	633	271	512	546	508	591	817	742
ENSG00000005102	MEOX1	32	24	1	4	12	21	7	9	14	2	11	0	1	14	0	0	0	4	0	2	8	9
ENSG00000005108	THSD7A	7	4	0	0	7	8	15	4	3	0	7	0	0	0	0	3	5	14	16	7	0	20
ENSG00000005156	LIG3	1660	1240	1654	1510	1750	1748	1923	1487	1503	1516	1335	1727	1291	1400	1354	1199	1205	1540	1754	1782	1113	1085
ENSG00000005175	RPAP3	2214	1645	2842	2406	1632	1671	1051	824	1197	1209	1204	1530	1508	1496	618	538	663	771	680	494	1998	1582
ENSG00000005187	ACSM3	83	26	255	148	65	65	32	36	83	108	67	58	41	66	61	51	53	27	21	22	127	78
ENSG00000005189	REXO5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005194	CIAPIN1	3109	2747	3159	3060	3877	4339	3895	2984	4012	3565	4200	2582	2554	2443	917	967	768	772	781	753	3028	2552
ENSG00000005206	SPPL2B	718	740	1216	1298	846	721	652	398	866	904	929	826	908	972	946	951	907	876	965	1098	1217	519
ENSG00000005238	ATOSB	439	212	445	355	642	547	400	243	576	579	653	590	580	705	388	251	385	118	132	122	202	208
ENSG00000005243	COPZ2	368	197	269	200	386	663	238	117	232	200	274	90	78	109	167	232	170	209	225	235	182	221
ENSG00000005249	PRKAR2B	583	217	32	5	2844	2764	2384	1842	1195	896	948	854	1052	936	285	351	353	899	831	942	11	339
ENSG00000005302	MSL3	1924	1443	2144	1828	1014	862	762	726	2549	2542	2537	1282	1225	1215	598	670	759	744	846	936	1540	1192
ENSG00000005339	CREBBP	4259	3145	4142	2840	6488	7105	5400	3387	2461	2350	2318	1188	1325	1522	2930	1950	2438	3993	4827	4693	2050	2692
ENSG00000005379	TSPOAP1	1580	885	1808	1334	715	843	310	200	504	561	574	754	891	806	1765	1034	1798	1102	1115	1411	1613	1206
ENSG00000005381	MPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
ENSG00000005421	PON1	7	0	4	8	14	12	9	10	3	19	4	0	2	0	0	0	0	9	3	20	22	9
ENSG00000005436	GCFC2	620	513	800	615	497	588	444	425	222	152	193	230	199	189	442	447	460	462	407	386	526	385
ENSG00000005448	WDR54	467	423	660	693	458	510	600	596	401	533	496	898	793	877	1050	970	1035	917	893	733	573	405
ENSG00000005469	CROT	1	0	0	0	41	70	305	308	292	248	294	184	200	154	276	325	245	295	236	258	0	0
ENSG00000005471	ABCB4	0	0	0	0	0	1	0	2	143	118	143	54	24	28	57	39	80	78	63	94	0	0
ENSG00000005483	KMT2E	2038	1094	1662	902	3363	3151	1692	1063	2194	1893	1944	1692	1659	1827	3360	1738	3017	3059	3024	3081	992	1308
ENSG00000005486	RHBDD2	2637	2136	2822	2283	4246	4553	3573	2540	1493	1712	1766	929	929	944	1958	1725	1852	1454	1190	1370	2099	1934
ENSG00000005513	SOX8	377	839	1	7	5227	4860	2131	1379	11258	11547	10724	6259	5200	5555	30	19	44	77	75	86	5	345
ENSG00000005700	IBTK	3968	2706	4793	3540	2450	2233	2179	1693	764	712	786	968	1006	971	914	710	892	957	890	949	2344	2219
ENSG00000005801	ZNF195	428	298	520	429	484	357	304	281	680	604	527	415	425	472	574	395	527	288	326	367	348	274
ENSG00000005810	MYCBP2	2468	1659	2815	1693	4245	3744	3203	1807	1283	1162	1236	1402	1274	1482	732	498	568	469	664	652	1323	1363
ENSG00000005812	FBXL3	1543	1058	1557	1217	2699	2576	2153	1875	1044	893	950	1245	1203	1051	607	557	617	800	618	672	954	828
ENSG00000005844	ITGAL	72	22	102	87	6	7	5	7	1	7	2	0	7	0	10	6	8	27	0	4	75	51
ENSG00000005882	PDK2	511	338	593	526	840	981	430	290	3	0	11	0	0	0	365	337	350	301	311	392	419	375
ENSG00000005884	ITGA3	663	727	631	648	2664	5721	1244	1167	431	488	383	1594	1085	1409	1187	1127	1106	770	602	604	328	346
ENSG00000005889	ZFX	1940	1338	2372	1504	2092	1847	1154	908	2611	2154	2462	1429	1494	1515	1691	1329	1664	1560	1797	1742	1299	1212
ENSG00000005893	LAMP2	12162	9358	12352	9028	11839	12246	13367	11622	1694	1535	1538	1307	1180	1251	4495	3875	4115	4280	3423	3558	6097	6969
ENSG00000005961	ITGA2B	26	28	68	62	35	43	124	85	100	49	99	120	96	85	280	301	293	301	436	356	109	51
ENSG00000005981	ASB4	23	5	9	15	14	18	3	8	1	0	0	0	0	3	7	6	11	11	4	7	9	1
ENSG00000006007	GDE1	3905	3000	3786	2999	2789	2741	2533	1801	2123	1826	2128	1934	1785	1738	1886	1773	1880	1540	1401	1582	2417	2379
ENSG00000006015	REX1BD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006016	CRLF1	133	329	53	48	32	87	32	18	13	26	23	16	23	18	3376	3484	4412	8219	8432	8724	50	77
ENSG00000006025	OSBPL7	330	159	293	233	285	271	160	98	235	193	217	35	33	24	399	358	400	454	469	490	213	158
ENSG00000006042	TMEM98	0	0	0	0	588	758	1592	1105	1081	1195	1275	805	642	527	2744	2650	2651	1559	2062	2309	0	0
ENSG00000006047	YBX2	197	132	206	149	588	846	665	525	140	155	146	764	531	393	855	999	947	663	728	672	218	222
ENSG00000006059	KRT33A	18	7	11	8	0	0	1	0	0	0	0	0	0	0	6	5	4	6	6	2	15	2
ENSG00000006062	MAP3K14	537	380	567	480	420	481	278	227	360	469	459	364	315	320	724	441	746	351	443	355	466	461
ENSG00000006071	ABCC8	3	3	4	1	5	19	14	9	28	24	19	0	0	0	75	22	51	33	50	37	0	0
ENSG00000006116	CACNG3	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	1919	1496	2055	2292	2615	2965	2547	2007	1658	1520	1737	2545	1860	2332	3882	3180	4057	2651	2336	2829	1870	1389
ENSG00000006125	AP2B1	3936	3651	4373	2935	4286	5541	5230	3265	2235	2036	2006	2923	2638	2853	4266	1915	3515	2947	3008	3106	2588	2876
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	5	4	0	0	0
ENSG00000006194	ZNF263	908	633	956	781	2200	2174	1259	942	1422	1341	1520	865	695	738	951	836	1124	2054	2020	1945	709	718
ENSG00000006210	CX3CL1	2491	1991	2775	2672	8926	7819	3880	2656	2486	2558	2538	1328	1091	1091	795	737	478	888	667	1084	1879	1496
ENSG00000006282	SPATA20	447	268	527	354	1911	2343	1107	746	338	261	368	366	232	238	1171	1158	1147	730	729	751	433	338
ENSG00000006283	CACNA1G	1	0	1	1	78	146	50	34	18	3	0	0	0	4	60	50	53	25	26	25	0	3
ENSG00000006327	TNFRSF12A	2723	2954	1436	1914	4841	5985	3288	3556	1103	1220	1301	930	996	851	359	524	610	1187	1231	906	1466	2214
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	1172	648	1026	717	858	781	724	436	1336	1363	1293	1139	1140	1219	547	368	489	257	244	255	570	745
ENSG00000006451	RALA	3511	2749	3877	3501	2043	2170	1589	1428	2921	2486	2610	1580	1272	1215	2392	2525	2308	2068	2033	2016	2535	2332
ENSG00000006453	BAIAP2L1	1095	768	863	755	1939	1590	825	732	87	133	118	279	273	384	3135	2122	2548	3185	2963	2838	589	714
ENSG00000006459	KDM7A	2798	1465	2972	2100	2577	2197	810	943	333	335	308	1150	1218	1434	444	248	536	280	429	333	1977	1257
ENSG00000006468	ETV1	19	18	5	8	9	6	29	20	691	724	775	765	634	650	34	46	68	364	414	432	1	6
ENSG00000006530	AGK	1803	1316	1984	1513	1012	980	722	480	1252	1117	1313	1603	1576	1617	682	520	509	620	524	550	1325	1281
ENSG00000006534	ALDH3B1	1618	857	1127	880	24	63	50	25	115	99	104	193	152	191	14	20	41	20	3	18	727	1016
ENSG00000006555	TTC22	2533	1882	2530	2387	1737	1609	1563	986	0	1	0	0	0	0	525	451	385	368	319	301	1905	1977
ENSG00000006576	PHTF2	2824	2282	3400	2185	1578	1624	1520	1178	2091	1751	1793	2059	1929	1802	1474	1083	1347	1771	1537	1818	1803	2083
ENSG00000006606	CCL26	2	3	17	2	27	18	18	12	4	3	0	0	1	0	0	0	1	0	0	0	0	10
ENSG00000006607	FARP2	1179	1090	1330	914	2376	2622	3096	1941	1438	1474	1440	870	914	820	621	513	670	453	582	567	760	930
ENSG00000006611	USH1C	181	61	362	220	36	36	51	32	6	0	2	0	0	0	0	0	0	0	0	0	317	58
ENSG00000006625	GGCT	1398	1155	1608	1747	790	873	756	740	839	617	653	359	495	479	945	1325	941	931	960	1230	1206	1049
ENSG00000006634	DBF4	1635	1725	2570	2097	1045	1212	1259	961	1758	1595	1879	1473	1487	1422	789	947	804	1014	864	1050	1429	1201
ENSG00000006638	TBXA2R	285	256	528	528	26	46	61	64	42	45	26	138	71	115	17	20	24	80	75	65	366	262
ENSG00000006652	IFRD1	4554	2982	4045	3438	3119	2768	1111	1518	5217	4322	5273	2303	2641	2473	809	764	975	2064	1880	1979	2890	3797
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	792	729	931	756	772	889	1120	816	613	495	614	747	596	594	268	318	298	282	287	321	555	609
ENSG00000006704	GTF2IRD1	2777	1791	2669	2272	1624	1692	1599	1259	1942	1780	2069	1608	1477	1406	2745	2435	2488	1925	1770	1974	1688	1651
ENSG00000006712	PAF1	2884	2345	3282	3148	2619	2694	1799	1321	4380	4276	4534	3985	3583	3310	2330	2558	2335	2132	2285	2392	2274	2226
ENSG00000006715	VPS41	1577	882	1333	1135	1484	1322	1118	1026	1685	1535	1660	1142	947	983	1381	1149	1231	947	1152	1354	1044	1074
ENSG00000006740	ARHGAP44	1	2	8	9	93	113	239	175	224	184	197	381	284	333	238	170	243	155	152	178	3	1
ENSG00000006744	ELAC2	3207	2888	3792	3377	4081	5441	5226	3648	3354	3138	3341	3592	3433	3617	1460	1316	1372	1347	1490	1365	2784	2531
ENSG00000006747	SCIN	1	2	2	0	81	112	281	129	15	13	27	0	2	2	9	8	0	3	31	13	0	0
ENSG00000006756	ARSD	1430	1230	1367	1308	803	731	879	497	676	694	780	578	450	428	1157	941	1258	568	675	857	913	860
ENSG00000006757	PNPLA4	0	0	0	0	222	242	182	150	1121	1045	1146	729	590	568	49	52	80	58	65	55	0	0
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	6563	5140	7484	6135	8254	8294	4498	3851	2977	2501	2887	5875	5243	5107	14635	12495	9085	21297	20200	22981	4184	4868
ENSG00000006837	CDKL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007001	UPP2	310	160	386	236	38	32	29	17	7	5	11	7	3	2	22	11	14	44	49	34	223	169
ENSG00000007038	PRSS21	12	1	12	5	0	3	3	0	37	25	22	49	57	179	1237	1372	1430	0	1	4	10	11
ENSG00000007047	MARK4	2625	2014	2618	1997	2593	2956	1962	1292	1030	930	943	988	853	1021	678	571	682	697	608	634	1676	1756
ENSG00000007062	PROM1	17621	12357	12192	7935	4524	3651	3720	2716	400	301	284	66	76	66	906	706	676	589	457	532	6105	8172
ENSG00000007080	CCDC124	2296	1988	2187	2450	1726	2136	1394	1262	3609	3707	3860	4712	3641	3840	4415	4956	3862	5248	5483	4802	2655	2528
ENSG00000007129	CEACAM21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	8513	6432	8307	6436	2724	3562	6150	4296	3201	2915	3083	2840	2816	2927	4147	3177	3846	4225	4242	4672	5051	5353
ENSG00000007171	NOS2	0	4	0	0	44	62	23	17	19	8	25	0	0	0	43	99	49	55	67	51	0	0
ENSG00000007174	DNAH9	3	1	2	2	1	1	4	0	0	2	6	2	0	0	42	21	24	19	13	29	0	0
ENSG00000007202	BLTP2	4443	3892	4771	3155	4642	4520	7256	4680	2415	2237	2362	3171	2734	2986	2679	1254	2213	1699	1873	1853	2752	2558
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	GAS7	0	2	0	1	53	221	332	271	1919	1456	1667	139	139	59	443	238	361	167	238	337	0	0
ENSG00000007255	TRAPPC6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007264	MATK	1382	993	775	758	323	402	469	455	99	68	121	291	243	307	324	344	310	317	319	290	998	1255
ENSG00000007306	CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	CD79B	191	134	84	67	72	116	63	55	447	367	476	529	465	412	185	192	132	152	132	124	114	147
ENSG00000007314	SCN4A	5	20	24	23	5	7	1	0	64	59	71	52	25	46	0	0	0	2	0	0	13	1
ENSG00000007341	ST7L	1195	943	1185	1172	212	207	322	286	405	413	340	440	454	444	251	278	266	275	329	274	892	833
ENSG00000007350	TKTL1	0	0	0	0	1	0	0	0	40	21	29	0	0	0	1	0	3	9	0	1	0	0
ENSG00000007372	PAX6	33	20	45	37	245	495	469	318	20	29	20	20	23	15	772	640	653	436	336	369	14	28
ENSG00000007376	RPUSD1	1346	1376	1804	1650	1262	1438	1483	946	2012	2079	2101	2154	1520	1607	624	773	652	1211	1089	1038	1593	1367
ENSG00000007384	RHBDF1	2111	1251	1835	1568	2222	1930	1218	960	470	514	486	468	442	505	361	263	485	917	905	943	1449	1525
ENSG00000007392	LUC7L	729	479	1175	1073	860	746	403	405	1087	1001	1079	799	870	888	1214	1360	1782	2695	2839	2838	1010	879
ENSG00000007402	CACNA2D2	0	0	0	1	16	30	10	8	160	135	154	34	53	30	103	29	51	30	25	54	0	0
ENSG00000007516	BAIAP3	32	21	24	12	36	30	66	33	151	129	136	251	333	314	201	187	132	301	409	358	6	11
ENSG00000007520	TSR3	1003	1192	1171	1175	1669	2121	1456	1096	1599	1353	1382	1131	871	912	1075	1114	1055	1584	1769	1658	1315	1150
ENSG00000007541	PIGQ	1661	1286	1907	1829	2028	1992	1483	1181	1591	1685	1869	782	662	739	1368	1216	1120	1548	1545	1748	1630	1195
ENSG00000007545	CRAMP1	38	21	34	21	41	60	37	17	130	201	106	70	88	92	54	24	64	85	100	80	73	58
ENSG00000007866	TEAD3	2289	1688	2174	2050	2658	2514	2220	1554	703	613	681	583	676	727	1008	779	950	919	844	1038	1380	1462
