"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
".13363",29.2188178704047,-23.9809606800147,2.96037641542013,-8.10064576757931,5.46682163503962e-16,1.1513673045557e-11
"DAPL1",160.655028745539,-5.63629994266593,0.972344708345523,-5.79660679416489,6.76700991153816e-09,7.12599978734526e-05
"RGR",109.437140406029,-1.93423516217078,0.359401714951703,-5.38181951199287,7.37366793247322e-08,0.000517656067752728
".8939",44.4461197183566,-3.34305391989988,0.689416236724117,-4.84910819011892,1.24017770314755e-06,0.00360224140343535
"NTRK2",969.078225953337,3.73583618825072,0.800018416870855,4.66968773401849,3.01657918513546e-06,0.00644414323649365
"BGN",16436.8671644942,2.09016621268283,0.44945255308331,4.65047133083122,3.31177282538357e-06,0.00644414323649365
".18337",11.5066667655568,-2.30094476524421,0.495131621148529,-4.64713758314777,3.3657269645995e-06,0.00644414323649365
"ZNF385B",91.8589299214037,2.02356310249737,0.451566287877628,4.48120941890539,7.4221237138215e-06,0.0120244113489842
"RPS3AP18",16.3584744693835,-6.01025809672629,1.35002746767537,-4.45195245329001,8.50930104607371e-06,0.0128010278093827
"CHI3L1",5041.16089007631,1.98782142808203,0.450419760950262,4.4132642490824,1.01823587601437e-05,0.0142967105231591
"LBP",44.9461282509419,4.45685145752089,1.01967265388484,4.37086494429442,1.2375532508543e-05,0.0153318288330838
"CACHD1",472.53831630282,-1.02295920731375,0.23352398455101,-4.38053165836719,1.18390089393084e-05,0.0153318288330838
"CPXM1",175.648096323868,-5.54840828174854,1.27397052497012,-4.35520930272597,1.32939832319387e-05,0.0155546989359922
".7638",11.9143577436128,-1.88569968470537,0.436329640811457,-4.32173180166828,1.54809296411719e-05,0.0171602031143538
"HECW2",163.259053778598,-1.69909728560661,0.397734454421472,-4.27193889470311,1.93780682300662e-05,0.0204060747496713
"TNFSF13B",69.9275432802062,2.13579912768068,0.507219893431423,4.21079526915172,2.54473284452703e-05,0.0223310910160766
"DCD",82.0317533436589,7.59590685415433,1.79950620853268,4.22110622243867,2.43106337710748e-05,0.0223310910160766
"LINC02898",3.13351339492842,-4.1120713258,0.973857073312244,-4.22245875548677,2.4165162886314e-05,0.0223310910160766
"FAM86LP",13.3374937704456,4.80515156496895,1.13928867535992,4.2176769320128,2.46832124241765e-05,0.0223310910160766
"COL5A2",381.347707391637,3.46825351968487,0.826798455525399,4.19479922405144,2.73113396666673e-05,0.0230081649887872
"NKX6-1",325.754021600307,-1.62606411971869,0.388667661518369,-4.18368771244388,2.86818049397233e-05,0.0232333651475197
"CELF5",70.0622984665304,1.03786508737531,0.253413174984618,4.09554510115076,4.21176220305298e-05,0.0316799727708925
"CRIP2",2439.14580743404,1.00097216162718,0.244309617304038,4.09714596041257,4.1827518442218e-05,0.0316799727708925
"SYNGR4",20.6772401879429,-3.20627281672948,0.78875209771226,-4.06499434490143,4.8033626635177e-05,0.0337212070187821
"PGLYRP4",39.4342724004705,-5.92728496978829,1.45763939080073,-4.06635894117284,4.77533671966325e-05,0.0337212070187821
"LUM",13.1088983357077,6.68236878499764,1.65670913070694,4.03351962100082,5.49475903342484e-05,0.0351053366112326
"SNX31",6.60156162189637,-3.48481687598706,0.873014841046079,-3.99170404916763,6.56002087089073e-05,0.0386908755186968
"MROH2A",20.5797119169113,-4.39903644883457,1.10257669083384,-3.98977820355311,6.61351084313701e-05,0.0386908755186968
"C1S",1992.99445680112,2.61630591635275,0.661892742506812,3.95276416907656,7.72535669773118e-05,0.0428167730028727
"CNGB3",12.2672976070315,-2.02030740885274,0.514299134698143,-3.92827300796164,8.5558053207974e-05,0.0446948988194993
"DNAH12",19.099615230437,-1.40023170612852,0.356817220429441,-3.92422681966778,8.70087294810062e-05,0.0446948988194993
"SLC22A20P",161.901601418688,-3.74457229523636,0.952896325724111,-3.9296743980945,8.50609647952198e-05,0.0446948988194993
"ACTG2",636.130151045066,-2.73338915209856,0.698860201355492,-3.91121020598533,9.18347999234396e-05,0.0460507790758943
".23698",7.8769189184201,-4.96787262849276,1.27847450395671,-3.88578154129617,0.000102001202817569,0.0499592402916469
